DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,colaboradores,lat,lon
AV.VINA DEL MAR 103,JACOBO HUNTER,AREQUIPA,AREQUIPA,1,-16.4453318,-71.5535399
"AV.MARIANO NUNEZ 654, JULIACA, SAN ROMAN, PUNO.",JULIACA,PUNO,PUNO,1,-15.4932314,-70.1356177
AV.COYASUYO2964,CUZCO,CUZCO,CUZCO,1,-13.5169542,-71.9792712
AV.28 DE JULIO NRO. 141 MZ E2 LTE 5 BARRIO PINGULLO,SIHUAS,SIHUAS,ANCASH,1,-8.5546662,-77.6312635
"AV. ZAMACOLA MZ. G, LOTE 3, URB. EL PEDREGAL",MAJES,CAYLLOMA,AREQUIPA,1,-16.3242988,-72.2878298
"AV. VICTOR RAUL HAYA DE LA TORRE MZ.B, LT. 04",PAITA,PAITA,PIURA,1,-5.0851637,-81.1136793
AV. VICTOR RAUL HAYA DE LA TORRE 4485,ATE,LIMA,LIMA,1,-4.9038058,-80.708165
CA. PASEO LA BRENA N° 206,HUANCAYO,HUANCAYO,JUNIN,1,-12.068098,-75.2100953
CA. LA MERCED N° 302 - LAREDO - TRUJILLO - LA LIBERTAD,LAREDO,LAREDO,LA LIBERTAD,1,-8.0860389,-78.9594536
CA. 7 DE JUNIO MZ. 20 LT. MN-6 CERCADO SAN MARTIN DE PANGOA SEC 002,PANGOA,SATIPO,JUNIN,1,-11.7553934,-74.3850308
AV. NEPENA MZ. N LTE. 16,CASMA,CASMA,ANCASH,1,-9.473361,-78.2995738
AV. MUNICIPAL 701 ASOC. 1° DE MAYO MZ B LT. 07. TACNA,CORONEL GREGORIO ALBARRACIN,TACNA,TACNA,1,-18.012297,-70.2551101
AV. MINERIA MZ 02 LTE 03,PACOCHA,ILO,MOQUEGUA,1,-17.4371991,-71.3472543
AV. MIGUEL GRAU SEMINARIO N° 147,HUACHO,HUAURA,LIMA PROVINCIAS,1,-4.6559552,-81.3054765
AV. MIGUEL DE CERVANTES N° 300 CF-01,CHICLAYO,CHICLAYO,LAMBAYEQUE,1,-6.7716146,-79.8387175
AV. PACHACUTEC YUPANQUI N°747-755 CENTRO POBLADO PARCONA CERCADO PRIMERA ETAPA,PARCONA,ICA,ICA,1,-14.046921,-75.6987179
AV. PACHACUTEC NO 2189 MZ. S PRIMER HOGAR POLICIAL - A.C.U. - CERCADO,VILLA MARIA EL TRIUNFO,LIMA,LIMA,1,-12.20603,-76.9291072
"AV. OSCAR R. BENAVIDES N° 3866 CENTRO COMERCIAL MALL PLAZA BELLAVISTA LOCAL LF 02, ZONA FINANCIERA SOTANO 1.",BELLAVISTA,CALLAO,LIMA,1,-12.0623905,-77.1286283
"AV. NUEVA CAJAMARCA N° 725 MZ. 12 LT. 08, DEL SECTOR NUEVA CAJAMARCA",NUEVA CAJAMARCA,RIOJA,SAN MARTIN,1,-5.9407861,-77.3092386
AV. NICOLAS DE PIEROLA N°1704,CERCADO DE LIMA,LIMA,LIMA,1,-12.0459827,-76.89032
"C.C. PARQUE CANEPA (JIRONES HUANUCO, HUMBOLDT, ANTONIO BAZO E HIPOLITO UNANUE)",LA VICTORIA,LIMA,LIMA,1,-12.0641355,-77.0295563
"C.C LA RAMBLA, JR. CENTENARIO 1561, BRENA 15083",BRENA,LIMA,LIMA,1,-12.0588096,-77.0458829
"C. MOQUEGUA 861, MOQUEGUA 18001",MOQUEGUA,MOQUEGUA,MOQUEGUA,1,-17.1938249,-70.9351863
CALLE ESPINAR 1874,CALCA,CUSCO,CUSCO,1,-13.4211219,-71.8516557
CALLE ESPILON N° 215.,CALLAO,CALLAO,CALLAO,1,-11.9496688,-77.1288139
CALLE ERNESTO RIVERO 716 TAMBOPATA,TAMBOPATA,TAMBOPATA,MADRE DE DIOS,1,-12.187271,-69.8479162
CALLE DERECHA 633 - HUARAL,HUARAL,HUARAL,HUARAL,1,-11.4945556,-77.2048235
CALLE COLON MZ. E1 LT. A1 – CASMA,CASMA,CASMA,ANCASH,1,-9.473361,-78.2995738
"CALLE BOLIVAR N°565, BARRIO CENTRAL, MZ.62-LT.3",OTUZCO,OTUZCO,LA LIBERTAD,1,-7.9024691,-78.5656753
"CALLE BOLIVAR N° 289 (ANTES MZ. 13, LOTE 21 SECTOR NORTE",SECHURA,SECHURA,PIURA,1,-5.5575353,-80.8223327
CALLE BOLIVAR N° 147,TUMBES,TUMBES,TUMBES,1,-11.9684853,-77.0894363
CALLE AREQUIPA NRO 178,MOLLENDO,ISLAY,AREQUIPA,1,-17.0292533,-72.0155447
CALLE AREQUIPA 330,MOLLENDO,ISLAY,AREQUIPA,1,-12.1866669,-77.0129461
CALLE ANCASH MZ. M LT 17,ANCON,LIMA,LIMA,1,-11.7738789,-77.1753353
CALLE AMADOR MERINO REYNA 339 SAN ISIDRO,SAN ISIDRO,LIMA,LIMA,1,-12.0927083,-77.0286505
CALLE 28 DE JULIO 129 MZ. E1 LT. 34D CENTRO POBLADO CRUZ DE MEDANO,MORROPE,LAMBAYEQUE,LAMBAYEQUE,1,-6.5403873,-80.0153619
"CALLE 25, MZ.64-LT.22, C.P SAN JACINTO",IGNACIO ESCUDERO,SULLANA,PIURA,1,-4.8292109,-80.8861754
CAL. AREQUIPA NRO. 222 (PLAZA DE ARMAS) PUNO CARABAYA MACUSANI,MACUSANI,CARABAYA,PUNO,1,-14.0684826,-70.4313639
"CA. SAN ROMAN, JORGE CHAVEZ Y UNION N°100-201-203-205 – JULIACA – SAN ROMAN - PUNO",JULIACA,JULIACA,PUNO,1,-15.49611,-70.131117
CALLE LIMA N° 406 CHEPEN,CHEPEN,CHEPEN,LA LIBERTAD,1,-7.2297561,-79.4290281
CALLE LIBERTAD N° 141,ICA,ICA,ICA,1,-11.9815727,-77.0232621
CALLE LAS ORQUIDEAS 675,SAN ISIDRO,LIMA,LIMA,1,-12.0939244,-77.0276216
"CALLE LAS ALONDRAS N°135-137, URBANIZACION SANTA ANITA",SANTA ANITA,LIMA,LIMA,1,-12.0494148,-76.9645757
CALLE JOSE CARLOS MARIATEGUI MZ R LT 03.,PAIMAS,AYABACA,PIURA,1,-4.6269859,-79.9453372
"CALLE HUARAZ 1561, BRENA.",BRENA,LIMA,LIMA,1,-12.0588096,-77.0458829
"CALLE GRAL RECAVARREN 111, MIRAFLORES 15074",MIRAFLORES,LIMA,LIMA,1,-12.1206214,-77.0294993
CALLE GAMARRA N° 362 - TRUJILLO,TRUJILLO,TRUJILLO,TRUJILLO,1,-8.2223726,-78.9743238
AV. MCAL CASTILLA N° 182,CHINCHA ALTA,CHINCHA,ICA,1,-13.417488,-76.1325726
"AV. MARTIRES DEL 4 DE NOVIEMBRE N°102 -108-112 ESQ. JR. TARAPACA N° 109-111, BARRIO DE CERRO COLORADO",JULIACA,SAN ROMAN,PUNO,1,-15.4932314,-70.1356177
AV. MARISCAL CASTILLA N° 1882,EL TAMBO,HUANCAYO,JUNIN,1,-12.1689664,-77.029252
AV. MARISCAL CASTILLA N° 140,CAMANA,CAMANA,AREQUIPA,1,-12.1689664,-77.029252
AV. MARISCAL CASTILLA N1615,EL TAMBO,HUANCAYO,JUNIN,1,-12.1689664,-77.029252
AV. MARISCAL BENAVIDES N° 998 - SAN VICENTE DE CANETE.,CANETE,CANETE,CANETE,1,-13.0703636,-76.3644584
AV. MARISCAL BENAVIDES N° 509 CHINCHA ALTA - CHINCHA,CHINCHA,CHINCHA,CHINCHA,1,-13.4206977,-76.1328349
